date,store_number,store_name,city,state,zip_code,item_number,category_name,vendor_name,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars
2012-01-31,4203,Liquor and Tobacco Outlet /,WAVERLY,IA,50677,41279,VODKA FLAVORED,Heaven Hill Brands,Burnett's Grape Vodka,12,750,3.88,6.15,12,73.8
2012-01-31,3465,Hometown Foods / Panora,PANORA,IA,50216,40841,VODKA FLAVORED,Jim Beam Brands,Pucker Vodka Wild Cherry Tease,12,750,9.99,14.99,6,89.94
2012-01-31,2506,Hy-Vee #1044 / Burlington,BURLINGTON,IA,52601,41694,VODKA FLAVORED,Phillips Beverage Company,Uv Blue (raspberry) Vodka,12,1000,7.25,10.87,12,130.44
2012-01-31,3612,B and C Liquor / Maquoketa,MAQUOKETA,IA,52060,41694,VODKA FLAVORED,Phillips Beverage Company,Uv Blue (raspberry) Vodka,12,1000,7.25,10.87,12,130.44
2012-01-31,3963,Tobacco Hut #14 / Council Bluffs,COUNCIL BLUFFS,IA,51501,42002,VODKA FLAVORED,Phillips Beverage Company,Uv Cake Vodka,6,500,29.3,43.95,1,43.95
2012-01-31,2839,CVS Pharmacy #8659 / Davenport,DAVENPORT,IA,52804,40853,VODKA FLAVORED,Jim Beam Brands,Pucker Vodka Sour Apple Sass,12,750,9.99,14.99,3,44.97
2012-01-31,2506,Hy-Vee #1044 / Burlington,BURLINGTON,IA,52601,40853,VODKA FLAVORED,Jim Beam Brands,Pucker Vodka Sour Apple Sass,12,750,9.99,14.99,3,44.97
2012-01-31,2613,Hy-Vee Food Store #1 / Council Bluff,COUNCIL BLUFFS,IA,51501,39666,100 PROOF VODKA,Diageo Americas,Popov Vodka 100 Prf,12,750,5.07,7.61,12,91.32
2012-01-31,4049,No Frills Supermarkets / Glenwood,GLENWOOD,IA,51534,36886,100 PROOF VODKA,Mccormick Distilling Company,Mccormick Vodka,12,750,3.3,4.96,12,59.52
2012-01-31,4039,No Frills Supermarkets / Council Blu,COUNCIL BLUFFS,IA,51501,36886,100 PROOF VODKA,Mccormick Distilling Company,Mccormick Vodka,12,750,3.3,4.96,12,59.52
2012-01-31,2587,Hy-Vee Food Store / Johnston,JOHNSTON,IA,50131,39866,100 PROOF VODKA,Diageo Americas,Smirnoff Vodka 100 Prf,12,750,8.65,12.97,1,12.97
2012-01-31,2619,Hy-Vee Wine and Spirits / WDM,WEST DES MOINES,IA,50266,39866,100 PROOF VODKA,Diageo Americas,Smirnoff Vodka 100 Prf,12,750,8.65,12.97,3,38.91
2012-01-31,3612,B and C Liquor / Maquoketa,MAQUOKETA,IA,52060,36886,100 PROOF VODKA,Mccormick Distilling Company,Mccormick Vodka,12,750,3.3,4.96,3,14.88
2012-01-31,2629,Hy-Vee Food Store #2 / Council Bluff,COUNCIL BLUFFS,IA,51503,10006,SCOTCH WHISKIES,Diageo Americas,Scoresby Rare Scotch,12,750,5.13,7.69,12,92.28
2012-01-31,2806,Osco #881 / Clinton,CLINTON,IA,52732,8828,SCOTCH WHISKIES,Sazerac North America,Lauder's,6,1750,11.18,16.76,6,100.56
2012-01-31,2573,Hy-Vee Food Store / Muscatine,MUSCATINE,IA,52761,10008,SCOTCH WHISKIES,Diageo Americas,Scoresby Rare Scotch,6,1750,10.22,15.33,6,91.98
2012-01-31,4616,C's Spencer Liquor,SPENCER,IA,51301,10008,SCOTCH WHISKIES,Diageo Americas,Scoresby Rare Scotch,6,1750,10.22,15.33,6,91.98
2012-01-31,2506,Hy-Vee #1044 / Burlington,BURLINGTON,IA,52601,6998,SCOTCH WHISKIES,"WILLIAM GRANT AND SONS, INC.",Clan Macgregor Scotch,6,1750,11.24,16.87,6,101.22
2012-01-31,2651,Hy-Vee / Waverly,WAVERLY,IA,50677,8208,SCOTCH WHISKIES,Sazerac North America,House Of Stuart,6,1750,9.62,14.43,6,86.58
2012-01-31,2524,Hy-Vee Food Store / Dubuque,DUBUQUE,IA,52001,8828,SCOTCH WHISKIES,Sazerac North America,Lauder's,6,1750,11.18,16.76,6,100.56
2012-01-31,2413,Beecher Beverage,DUBUQUE,IA,52001,8828,SCOTCH WHISKIES,Sazerac North America,Lauder's,6,1750,11.18,16.76,6,100.56
2012-01-31,3959,Hartig Drug Company #8 / University,DUBUQUE,IA,52001,8828,SCOTCH WHISKIES,Sazerac North America,Lauder's,6,1750,11.18,16.76,6,100.56
2012-01-31,2959,Dahl's / Merle Hay,DES MOINES,IA,50310,9428,SCOTCH WHISKIES,Pernod Ricard USA/Austin Nichols,Passport Scotch,6,1750,12.56,17.79,6,106.74
2012-01-31,2629,Hy-Vee Food Store #2 / Council Bluff,COUNCIL BLUFFS,IA,51503,4798,SCOTCH WHISKIES,MHW Ltd,Cutty Sark Scotch,6,1750,23.9,35.85,3,107.55
2012-01-31,4309,The Party Pantry,COUNCIL BLUFFS,IA,51501,4867,SCOTCH WHISKIES,"Bacardi U.S.A., Inc.",Dewars White Label Scotch,12,1000,16.86,25.29,3,75.87
2012-01-31,2629,Hy-Vee Food Store #2 / Council Bluff,COUNCIL BLUFFS,IA,51503,5106,SCOTCH WHISKIES,"WILLIAM GRANT AND SONS, INC.",Grant's Blended Scotch,12,750,10.41,15.62,4,62.48
2012-01-31,3495,Great Pastimes,MONTICELLO,IA,52310,8828,SCOTCH WHISKIES,Sazerac North America,Lauder's,6,1750,11.18,16.76,1,16.76
